phase,treatment,seed,lr,depth,steps,batch,parameter_count,validation_ce,validation_accuracy,train_seconds,batch_indices_sha256,expected_active_example_blocks,realized_active_example_blocks,executed_example_blocks,last_minibatch_ce,test_ce,test_accuracy
evaluation,dense6,2701,0.001,6,600,128,105162,0.15554136037826538,0.9637883305549622,0.8398008749354631,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,460800.0,460800,460800,0.0019599944353103638,0.08089509606361389,0.980555534362793
evaluation,constant_ild,2701,0.001,6,600,128,105162,0.13830402493476868,0.9637883305549622,0.9013162499759346,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,368640.00000000227,368536,460800,0.0023580281995236874,0.0873713344335556,0.980555534362793
evaluation,decreasing_ild,2701,0.001,6,600,128,105162,0.14654390513896942,0.9582172632217407,0.8856840000953525,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,368639.99999999994,368362,460800,0.00191831449046731,0.08827252686023712,0.980555534362793
evaluation,dense3,2701,0.001,3,600,128,55050,0.1365429162979126,0.961002767086029,0.5041565001010895,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,230400.0,230400,230400,0.002270348370075226,0.07850676029920578,0.9777777791023254
evaluation,dense6,2702,0.001,6,600,128,105162,0.20092055201530457,0.9498607516288757,0.8462097919546068,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,460800.0,460800,460800,0.0020698956213891506,0.06675244122743607,0.9861111044883728
evaluation,constant_ild,2702,0.001,6,600,128,105162,0.20091651380062103,0.9526462554931641,0.9075266250874847,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,368640.00000000227,368981,460800,0.002417131559923291,0.09088756889104843,0.980555534362793
evaluation,decreasing_ild,2702,0.001,6,600,128,105162,0.18562550842761993,0.9526462554931641,0.8943214169703424,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,368639.99999999994,368916,460800,0.0021081455051898956,0.08436381816864014,0.9833333492279053
evaluation,dense3,2702,0.001,3,600,128,55050,0.16093072295188904,0.961002767086029,0.5184728750027716,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,230400.0,230400,230400,0.0025070393458008766,0.07961217314004898,0.9861111044883728
evaluation,dense6,2703,0.001,6,600,128,105162,0.14927560091018677,0.961002767086029,0.8393844589591026,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,460800.0,460800,460800,0.0020504044368863106,0.08691342175006866,0.9861111044883728
evaluation,constant_ild,2703,0.001,6,600,128,105162,0.12759672105312347,0.9693593382835388,0.9183709581848234,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,368640.00000000227,368625,460800,0.0023318917956203222,0.08403199166059494,0.9861111044883728
evaluation,decreasing_ild,2703,0.001,6,600,128,105162,0.14609678089618683,0.961002767086029,0.8910162078682333,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,368639.99999999994,368397,460800,0.0019984999671578407,0.08041616529226303,0.9861111044883728
evaluation,dense3,2703,0.001,3,600,128,55050,0.14272131025791168,0.9637883305549622,0.5425912910141051,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,230400.0,230400,230400,0.002437797375023365,0.08419781923294067,0.980555534362793
evaluation,dense6,2704,0.001,6,600,128,105162,0.22010552883148193,0.9470751881599426,0.8809962500818074,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,460800.0,460800,460800,0.001977107720449567,0.06875092536211014,0.9861111044883728
evaluation,constant_ild,2704,0.001,6,600,128,105162,0.23203925788402557,0.9554317593574524,0.9061116669327021,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,368640.00000000227,368976,460800,0.003074775217100978,0.0698758214712143,0.9861111044883728
evaluation,decreasing_ild,2704,0.001,6,600,128,105162,0.23554295301437378,0.9470751881599426,0.9051790831144899,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,368639.99999999994,368591,460800,0.0018840432167053223,0.06558313965797424,0.9888888597488403
evaluation,dense3,2704,0.001,3,600,128,55050,0.23524993658065796,0.9387186765670776,0.49722320795990527,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,230400.0,230400,230400,0.0022397281136363745,0.06810227781534195,0.9861111044883728
evaluation,dense6,2705,0.001,6,600,128,105162,0.16109530627727509,0.9554317593574524,0.8400657919701189,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,460800.0,460800,460800,0.001905683777295053,0.0690537840127945,0.9833333492279053
evaluation,constant_ild,2705,0.001,6,600,128,105162,0.15502749383449554,0.9637883305549622,0.9124678331427276,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,368640.00000000227,368536,460800,0.0019137455383315682,0.062049154192209244,0.9861111044883728
evaluation,decreasing_ild,2705,0.001,6,600,128,105162,0.1428663730621338,0.961002767086029,0.9263004579115659,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,368639.99999999994,368348,460800,0.0018188445828855038,0.06755255907773972,0.980555534362793
evaluation,dense3,2705,0.001,3,600,128,55050,0.1374322772026062,0.961002767086029,0.5189240409526974,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,230400.0,230400,230400,0.0021260252688080072,0.05835520848631859,0.9861111044883728
