treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
dense6,2701,1,prefix,1,0.836114764213562,0.800000011920929,0.7552196681499481,-0.180555522441864
dense6,2701,1,all_masks,6,0.8147879242897034,0.7592592438062032,0.7338928282260895,-0.22129629055658975
dense6,2701,1,keeps_first,1,0.836114764213562,0.800000011920929,0.7552196681499481,-0.180555522441864
dense6,2701,1,drops_first,5,0.8105225563049316,0.7511110901832581,0.7296274602413177,-0.2294444441795349
dense6,2701,2,prefix,1,0.3525632917881012,0.9333333373069763,0.2716681957244873,-0.04722219705581665
dense6,2701,2,all_masks,15,0.41435880263646446,0.8781481623649597,0.33346370657285057,-0.10240737199783326
dense6,2701,2,keeps_first,5,0.32642958760261537,0.9183333516120911,0.24553449153900148,-0.062222182750701904
dense6,2701,2,drops_first,10,0.45832341015338895,0.858055567741394,0.37742831408977506,-0.12249996662139892
dense6,2701,3,prefix,1,0.1488647609949112,0.9666666388511658,0.0679696649312973,-0.013888895511627197
dense6,2701,3,all_masks,20,0.24018921777606012,0.930694442987442,0.15929412171244622,-0.049861091375350955
dense6,2701,3,keeps_first,10,0.1565432608127594,0.9577777743339538,0.07564816474914551,-0.022777760028839113
dense6,2701,3,drops_first,10,0.3238351747393608,0.9036111116409302,0.2429400786757469,-0.07694442272186279
dense6,2701,3,alternating,2,0.1931087225675583,0.9500000178813934,0.1122136265039444,-0.030555516481399536
dense6,2701,4,prefix,1,0.09008365124464035,0.9833333492279053,0.009188555181026459,0.0027778148651123047
dense6,2701,4,all_masks,15,0.15971207072337468,0.9559259335199992,0.0788169746597608,-0.024629600842793784
dense6,2701,4,keeps_first,10,0.10266503319144249,0.9716666758060455,0.021769937127828598,-0.008888858556747436
dense6,2701,4,drops_first,5,0.27380614578723905,0.9244444489479064,0.1929110497236252,-0.05611108541488648
dense6,2701,5,prefix,1,0.07687127590179443,0.980555534362793,-0.004023820161819458,0.0
dense6,2701,5,all_masks,6,0.11094937349359195,0.9731481472651163,0.030054277429978054,-0.007407387097676595
dense6,2701,5,keeps_first,5,0.08584844619035721,0.9794444441795349,0.004953350126743317,-0.0011110901832580566
dense6,2701,5,drops_first,1,0.23645401000976562,0.9416666626930237,0.15555891394615173,-0.03888887166976929
dense6,2701,6,prefix,1,0.08089509606361389,0.980555534362793,0.0,0.0
dense6,2701,6,all_masks,1,0.08089509606361389,0.980555534362793,0.0,0.0
dense6,2701,6,keeps_first,1,0.08089509606361389,0.980555534362793,0.0,0.0
dense6,2702,1,prefix,1,0.7756102681159973,0.8361111283302307,0.7088578268885612,-0.1499999761581421
dense6,2702,1,all_masks,6,0.7546404302120209,0.7958333392937978,0.6878879889845848,-0.19027776519457498
dense6,2702,1,keeps_first,1,0.7756102681159973,0.8361111283302307,0.7088578268885612,-0.1499999761581421
dense6,2702,1,drops_first,5,0.7504464626312256,0.7877777814865112,0.6836940214037895,-0.19833332300186157
dense6,2702,2,prefix,1,0.343386709690094,0.9333333373069763,0.27663426846265793,-0.052777767181396484
dense6,2702,2,all_masks,15,0.4023857474327087,0.8914814829826355,0.33563330620527265,-0.09462962150573731
dense6,2702,2,keeps_first,5,0.3366600155830383,0.919444453716278,0.26990757435560225,-0.06666665077209473
dense6,2702,2,drops_first,10,0.43524861335754395,0.8774999976158142,0.3684961721301079,-0.1086111068725586
dense6,2702,3,prefix,1,0.15300902724266052,0.9722222089767456,0.08625658601522446,-0.013888895511627197
dense6,2702,3,all_masks,20,0.24117813333868982,0.9326388835906982,0.17442569211125375,-0.05347222089767456
dense6,2702,3,keeps_first,10,0.1734654724597931,0.9580555498600006,0.10671303123235702,-0.02805555462837219
dense6,2702,3,drops_first,10,0.30889079421758653,0.9072222173213959,0.24213835299015046,-0.07888888716697692
dense6,2702,3,alternating,2,0.2042706459760666,0.9375,0.13751820474863052,-0.0486111044883728
dense6,2702,4,prefix,1,0.0838039442896843,0.9833333492279053,0.01705150306224823,-0.0027777552604675293
dense6,2702,4,all_masks,15,0.15389055907726287,0.9585185170173645,0.08713811784982681,-0.0275925874710083
dense6,2702,4,keeps_first,10,0.113233083486557,0.9713888883590698,0.04648064225912094,-0.014722216129302978
dense6,2702,4,drops_first,5,0.23520551025867462,0.9327777743339538,0.16845306903123855,-0.05333333015441895
dense6,2702,5,prefix,1,0.06507797539234161,0.9833333492279053,-0.001674465835094452,-0.0027777552604675293
dense6,2702,5,all_masks,6,0.10025351494550705,0.975000003973643,0.033501073718070984,-0.011111100514729818
dense6,2702,5,keeps_first,5,0.08565441668033599,0.977222228050232,0.018901975452899934,-0.00888887643814087
dense6,2702,5,drops_first,1,0.1732490062713623,0.9638888835906982,0.10649656504392624,-0.02222222089767456
dense6,2702,6,prefix,1,0.06675244122743607,0.9861111044883728,0.0,0.0
dense6,2702,6,all_masks,1,0.06675244122743607,0.9861111044883728,0.0,0.0
dense6,2702,6,keeps_first,1,0.06675244122743607,0.9861111044883728,0.0,0.0
dense6,2703,1,prefix,1,0.8033692836761475,0.7777777910232544,0.7164558619260788,-0.2083333134651184
dense6,2703,1,all_masks,6,0.7542141576608022,0.7893518507480621,0.6673007359107336,-0.19675925374031067
dense6,2703,1,keeps_first,1,0.8033692836761475,0.7777777910232544,0.7164558619260788,-0.2083333134651184
dense6,2703,1,drops_first,5,0.7443831324577331,0.7916666626930237,0.6574697107076645,-0.19444444179534912
dense6,2703,2,prefix,1,0.31076639890670776,0.949999988079071,0.2238529771566391,-0.03611111640930176
