phase,treatment,seed,lr,depth,steps,batch,parameter_count,validation_ce,validation_accuracy,train_seconds,batch_indices_sha256,expected_active_example_blocks,realized_active_example_blocks,executed_example_blocks,last_minibatch_ce
tuning,dense6,1701,0.001,6,600,128,105162,0.17251580953598022,0.9665738344192505,0.9481889170128852,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.0020699845626950264
tuning,dense6,1702,0.001,6,600,128,105162,0.15739908814430237,0.9470751881599426,0.9358872917946428,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.00199492578394711
tuning,dense6,1701,0.003,6,600,128,105162,0.22869956493377686,0.9582172632217407,0.945671958848834,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.00044755288399755955
tuning,dense6,1702,0.003,6,600,128,105162,0.25027239322662354,0.9526462554931641,0.9014876671135426,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.0003957663138862699
tuning,dense6,1701,0.01,6,600,128,105162,0.2383941411972046,0.9582172632217407,0.9090444170869887,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.00017485744319856167
tuning,dense6,1702,0.01,6,600,128,105162,0.2689400613307953,0.9582172632217407,0.8721236248966306,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.0001944548130268231
tuning,constant_ild,1701,0.001,6,600,128,105162,0.17089520394802094,0.9637883305549622,0.957707165973261,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.0024563383776694536
tuning,constant_ild,1702,0.001,6,600,128,105162,0.15271076560020447,0.9526462554931641,0.9378601249773055,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.002516411244869232
tuning,constant_ild,1701,0.003,6,600,128,105162,0.2437809407711029,0.9582172632217407,0.9456827081739902,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.0004807111108675599
tuning,constant_ild,1702,0.003,6,600,128,105162,0.23419809341430664,0.9554317593574524,0.9297287908848375,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.0004144842969253659
tuning,constant_ild,1701,0.01,6,600,128,105162,0.2958361804485321,0.9526462554931641,0.9431861669290811,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.00022497380268760026
tuning,constant_ild,1702,0.01,6,600,128,105162,0.2493075281381607,0.9498607516288757,0.9316786250565201,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.00013091022265143692
tuning,decreasing_ild,1701,0.001,6,600,128,105162,0.17639167606830597,0.961002767086029,0.9459503339603543,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.0020302145276218653
tuning,decreasing_ild,1702,0.001,6,600,128,105162,0.16522358357906342,0.9526462554931641,0.9705872919876128,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.002004903508350253
tuning,decreasing_ild,1701,0.003,6,600,128,105162,0.25431472063064575,0.9498607516288757,1.0112863751128316,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.0003770917537622154
tuning,decreasing_ild,1702,0.003,6,600,128,105162,0.23310087621212006,0.9526462554931641,1.01584175019525,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.00033323458046652377
tuning,decreasing_ild,1701,0.01,6,600,128,105162,0.2921851575374603,0.9582172632217407,0.9869044169317931,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.00010112742893397808
tuning,decreasing_ild,1702,0.01,6,600,128,105162,0.2237318903207779,0.9721448421478271,1.0267821250017732,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.00010565638513071463
tuning,dense3,1701,0.001,3,600,128,55050,0.1714448183774948,0.9637883305549622,0.5722230409737676,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.002413760405033827
tuning,dense3,1702,0.001,3,600,128,55050,0.18434976041316986,0.9498607516288757,0.5563666250091046,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.002337756799533963
tuning,dense3,1701,0.003,3,600,128,55050,0.21702584624290466,0.9498607516288757,0.5689062499441206,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.0004675558302551508
tuning,dense3,1702,0.003,3,600,128,55050,0.2239801585674286,0.9526462554931641,0.5612092919182032,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.0004302547313272953
tuning,dense3,1701,0.01,3,600,128,55050,0.3514920473098755,0.9303621053695679,0.5676660831086338,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.00017093819042202085
tuning,dense3,1702,0.01,3,600,128,55050,0.2320648729801178,0.9442896842956543,0.5443108340259641,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.00011731476115528494
