phase,treatment,seed,lr,depth,steps,batch,parameter_count,validation_ce,validation_accuracy,train_seconds,batch_indices_sha256,expected_active_example_blocks,realized_active_example_blocks,executed_example_blocks,last_minibatch_ce,test_ce,test_accuracy
evaluation,dense6,2701,0.0003,6,600,128,105162,0.12156786769628525,0.961002767086029,0.8379177500028163,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,460800.0,460800,460800,0.011854230426251888,0.08402852714061737,0.9833333492279053
evaluation,constant_ild,2701,0.0003,6,600,128,105162,0.10924679785966873,0.9554317593574524,0.8859457077924162,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,368640.00000000227,368536,460800,0.018156759440898895,0.0846405029296875,0.9833333492279053
evaluation,decreasing_ild,2701,0.0003,6,600,128,105162,0.11470131576061249,0.9582172632217407,0.8971186671406031,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,368639.99999999994,368362,460800,0.0133047541603446,0.08434834331274033,0.9833333492279053
evaluation,dense3,2701,0.0003,3,600,128,55050,0.12126979231834412,0.961002767086029,0.4835459589958191,819f9ea0a5cacea8c11747635aa5061d966f4de4510826da04895afead085a49,230400.0,230400,230400,0.01583498902618885,0.08545681834220886,0.980555534362793
evaluation,dense6,2702,0.0003,6,600,128,105162,0.16408458352088928,0.9554317593574524,0.8428234159946442,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,460800.0,460800,460800,0.012326724827289581,0.07371204346418381,0.9833333492279053
evaluation,constant_ild,2702,0.0003,6,600,128,105162,0.16556286811828613,0.9526462554931641,0.8825805839151144,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,368640.00000000227,368981,460800,0.018003100529313087,0.08074957877397537,0.980555534362793
evaluation,decreasing_ild,2702,0.0003,6,600,128,105162,0.164090096950531,0.9554317593574524,0.8956812079995871,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,368639.99999999994,368916,460800,0.014740637503564358,0.08246777951717377,0.9833333492279053
evaluation,dense3,2702,0.0003,3,600,128,55050,0.15557029843330383,0.9582172632217407,0.4908649171702564,4993482c473065e419619f83e0a23150b745c2fb82405aa065aef711580b8e1c,230400.0,230400,230400,0.017985301092267036,0.0822758674621582,0.9861111044883728
evaluation,dense6,2703,0.0003,6,600,128,105162,0.1340605765581131,0.9637883305549622,0.8531620418652892,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,460800.0,460800,460800,0.01388965267688036,0.08431952446699142,0.9833333492279053
evaluation,constant_ild,2703,0.0003,6,600,128,105162,0.1316629946231842,0.9637883305549622,0.8904092919547111,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,368640.00000000227,368625,460800,0.017666220664978027,0.08292283117771149,0.9833333492279053
evaluation,decreasing_ild,2703,0.0003,6,600,128,105162,0.14005792140960693,0.961002767086029,0.9036514160688967,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,368639.99999999994,368397,460800,0.015373120084404945,0.08399306237697601,0.980555534362793
evaluation,dense3,2703,0.0003,3,600,128,55050,0.14329615235328674,0.961002767086029,0.49455599999055266,cf5d0638fdcccaca66bd4a0040d57fb7fd9bcb16c16e90b9cd2266a2f05ee0cd,230400.0,230400,230400,0.021262705326080322,0.09289876371622086,0.9777777791023254
evaluation,dense6,2704,0.0003,6,600,128,105162,0.19794268906116486,0.9442896842956543,0.9175490830093622,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,460800.0,460800,460800,0.012598113156855106,0.07510477304458618,0.9833333492279053
evaluation,constant_ild,2704,0.0003,6,600,128,105162,0.20021332800388336,0.9442896842956543,0.9105382920242846,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,368640.00000000227,368976,460800,0.021022219210863113,0.07004669308662415,0.9833333492279053
evaluation,decreasing_ild,2704,0.0003,6,600,128,105162,0.20582905411720276,0.9470751881599426,0.9149256669916213,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,368639.99999999994,368591,460800,0.014447272755205631,0.07277961075305939,0.9833333492279053
evaluation,dense3,2704,0.0003,3,600,128,55050,0.2112870216369629,0.9331476092338562,0.4964344999752939,1206f59552347b2eacffe492960db33e05fa1ef80608b5f6c05853f700b16f40,230400.0,230400,230400,0.01850799284875393,0.07760393619537354,0.9861111044883728
evaluation,dense6,2705,0.0003,6,600,128,105162,0.1505168080329895,0.9554317593574524,0.8533974168822169,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,460800.0,460800,460800,0.011279696598649025,0.08263567835092545,0.9833333492279053
evaluation,constant_ild,2705,0.0003,6,600,128,105162,0.14073801040649414,0.9582172632217407,0.9246860831044614,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,368640.00000000227,368536,460800,0.013451802544295788,0.073486328125,0.9833333492279053
evaluation,decreasing_ild,2705,0.0003,6,600,128,105162,0.13851945102214813,0.9582172632217407,0.9265371670480818,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,368639.99999999994,368348,460800,0.01229332946240902,0.076194167137146,0.9833333492279053
evaluation,dense3,2705,0.0003,3,600,128,55050,0.13653020560741425,0.9554317593574524,0.4887807499617338,72b13be76f7ec6991d9115be6f6394b7ed51594b516fcb3909026bd665415e26,230400.0,230400,230400,0.014418237842619419,0.07570994645357132,0.9861111044883728
