treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
dense6,2701,1,prefix,1,1.3236876726150513,0.6583333611488342,1.239659145474434,-0.32499998807907104
dense6,2701,1,all_masks,6,1.2610939542452495,0.6393518547217051,1.1770654271046321,-0.34398149450620014
dense6,2701,1,keeps_first,1,1.3236876726150513,0.6583333611488342,1.239659145474434,-0.32499998807907104
dense6,2701,1,drops_first,5,1.248575210571289,0.6355555534362793,1.1645466834306717,-0.347777795791626
dense6,2701,2,prefix,1,0.7026129364967346,0.9055555462837219,0.6185844093561172,-0.07777780294418335
dense6,2701,2,all_masks,15,0.7283743977546692,0.8190740744272867,0.6443458706140518,-0.1642592748006185
dense6,2701,2,keeps_first,5,0.6780970692634583,0.8777777671813964,0.5940685421228409,-0.10555558204650879
dense6,2701,2,drops_first,10,0.7535130620002747,0.789722228050232,0.6694845348596573,-0.19361112117767335
dense6,2701,3,prefix,1,0.33479002118110657,0.9583333134651184,0.2507614940404892,-0.025000035762786865
dense6,2701,3,all_masks,20,0.4065240502357483,0.8948611170053482,0.3224955230951309,-0.08847223222255707
dense6,2701,3,keeps_first,10,0.33551924824714663,0.9288888931274414,0.25149072110652926,-0.05444445610046387
dense6,2701,3,drops_first,10,0.47752885222435,0.860833340883255,0.3935003250837326,-0.12250000834465027
dense6,2701,3,alternating,2,0.37545959651470184,0.9055555760860443,0.2914310693740845,-0.07777777314186096
dense6,2701,4,prefix,1,0.1569395661354065,0.980555534362793,0.07291103899478912,-0.0027778148651123047
dense6,2701,4,all_masks,15,0.23136135637760163,0.9435185194015503,0.14733282923698426,-0.03981482982635498
dense6,2701,4,keeps_first,10,0.1779806599020958,0.9608333289623261,0.09395213276147843,-0.022500020265579224
dense6,2701,4,drops_first,5,0.3381227493286133,0.9088889002799988,0.25409422218799593,-0.0744444489479065
dense6,2701,5,prefix,1,0.09505252540111542,0.9833333492279053,0.011023998260498047,0.0
dense6,2701,5,all_masks,6,0.13608107591668764,0.9694444437821707,0.052052548776070275,-0.01388890544573466
dense6,2701,5,keeps_first,5,0.11234519630670547,0.976111114025116,0.028316669166088104,-0.007222235202789307
dense6,2701,5,drops_first,1,0.2547604739665985,0.9361110925674438,0.17073194682598114,-0.047222256660461426
dense6,2701,6,prefix,1,0.08402852714061737,0.9833333492279053,0.0,0.0
dense6,2701,6,all_masks,1,0.08402852714061737,0.9833333492279053,0.0,0.0
dense6,2701,6,keeps_first,1,0.08402852714061737,0.9833333492279053,0.0,0.0
dense6,2702,1,prefix,1,1.2276183366775513,0.7083333134651184,1.1539062932133675,-0.27500003576278687
dense6,2702,1,all_masks,6,1.2024210095405579,0.6814814706643423,1.128708966076374,-0.30185187856356305
dense6,2702,1,keeps_first,1,1.2276183366775513,0.7083333134651184,1.1539062932133675,-0.27500003576278687
dense6,2702,1,drops_first,5,1.1973815441131592,0.676111102104187,1.1236695006489754,-0.30722224712371826
dense6,2702,2,prefix,1,0.6902382969856262,0.8999999761581421,0.6165262535214424,-0.08333337306976318
dense6,2702,2,all_masks,15,0.7155579646428426,0.8287036975224813,0.6418459211786588,-0.154629651705424
dense6,2702,2,keeps_first,5,0.6679906964302063,0.8749999880790711,0.5942786529660224,-0.10833336114883423
dense6,2702,2,drops_first,10,0.7393415987491607,0.8055555522441864,0.6656295552849769,-0.17777779698371887
dense6,2702,3,prefix,1,0.3456968665122986,0.9583333134651184,0.2719848230481148,-0.025000035762786865
dense6,2702,3,all_masks,20,0.40851771980524065,0.899722221493721,0.33480567634105685,-0.08361112773418426
dense6,2702,3,keeps_first,10,0.34610104858875274,0.9300000071525574,0.27238900512456893,-0.0533333420753479
dense6,2702,3,drops_first,10,0.4709343910217285,0.8694444358348846,0.3972223475575447,-0.11388891339302062
dense6,2702,3,alternating,2,0.35749782621860504,0.9124999940395355,0.28378578275442123,-0.07083335518836975
dense6,2702,4,prefix,1,0.17135994136333466,0.980555534362793,0.09764789789915085,-0.0027778148651123047
dense6,2702,4,all_masks,15,0.22873234351476032,0.9433333237965902,0.15502030005057651,-0.0400000254313151
dense6,2702,4,keeps_first,10,0.18639187663793563,0.9599999964237214,0.11267983317375183,-0.02333335280418396
dense6,2702,4,drops_first,5,0.31341327726840973,0.9099999785423278,0.23970123380422592,-0.0733333706855774
dense6,2702,5,prefix,1,0.08876786381006241,0.9861111044883728,0.015055820345878601,0.0027777552604675293
dense6,2702,5,all_masks,6,0.12539486835400263,0.9703703820705414,0.051682824889818825,-0.012962967157363892
dense6,2702,5,keeps_first,5,0.11039502322673797,0.9766666769981385,0.03668297976255417,-0.0066666722297668455
dense6,2702,5,drops_first,1,0.20039409399032593,0.9388889074325562,0.12668205052614212,-0.04444444179534912
dense6,2702,6,prefix,1,0.07371204346418381,0.9833333492279053,0.0,0.0
dense6,2702,6,all_masks,1,0.07371204346418381,0.9833333492279053,0.0,0.0
dense6,2702,6,keeps_first,1,0.07371204346418381,0.9833333492279053,0.0,0.0
dense6,2703,1,prefix,1,1.302927017211914,0.625,1.2186074927449226,-0.3583333492279053
dense6,2703,1,all_masks,6,1.2303385337193806,0.6458333333333334,1.1460190092523892,-0.33750001589457196
dense6,2703,1,keeps_first,1,1.302927017211914,0.625,1.2186074927449226,-0.3583333492279053
dense6,2703,1,drops_first,5,1.215820837020874,0.65,1.1315013125538826,-0.33333334922790525
dense6,2703,2,prefix,1,0.6916379928588867,0.9083333611488342,0.6073184683918953,-0.07499998807907104
dense6,2703,2,all_masks,15,0.7288501938184102,0.8216666618982951,0.6445306693514188,-0.16166668732961018
dense6,2703,2,keeps_first,5,0.7192146062850953,0.8388888955116272,0.6348950818181038,-0.14444445371627807
dense6,2703,2,drops_first,10,0.7336679875850678,0.813055545091629,0.6493484631180764,-0.17027780413627625
dense6,2703,3,prefix,1,0.32124340534210205,0.9694444537162781,0.23692388087511063,-0.013888895511627197
dense6,2703,3,all_masks,20,0.4172427296638489,0.8977777779102325,0.3329232051968575,-0.08555557131767273
dense6,2703,3,keeps_first,10,0.38607109785079957,0.9149999976158142,0.30175157338380815,-0.06833335161209106
dense6,2703,3,drops_first,10,0.44841436147689817,0.8805555582046509,0.36409483700990675,-0.10277779102325439
dense6,2703,3,alternating,2,0.39822427928447723,0.9083333313465118,0.3139047548174858,-0.07500001788139343
dense6,2703,4,prefix,1,0.15800228714942932,0.9777777791023254,0.0736827626824379,-0.005555570125579834
