phase,treatment,seed,lr,depth,steps,batch,parameter_count,validation_ce,validation_accuracy,train_seconds,batch_indices_sha256,expected_active_example_blocks,realized_active_example_blocks,executed_example_blocks,last_minibatch_ce
tuning,dense6,1701,0.0001,6,600,128,105162,0.20743843913078308,0.9470751881599426,0.9302367500495166,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.07928521931171417
tuning,dense6,1702,0.0001,6,600,128,105162,0.22016462683677673,0.941504180431366,0.8846684999298304,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.06696721911430359
tuning,dense6,1701,0.0003,6,600,128,105162,0.15959060192108154,0.961002767086029,0.8757437500171363,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.013596606440842152
tuning,dense6,1702,0.0003,6,600,128,105162,0.16827361285686493,0.9442896842956543,0.8431286658160388,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.012338725849986076
tuning,dense6,1701,0.001,6,600,128,105162,0.17251580953598022,0.9665738344192505,0.8676996659487486,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.0020699845626950264
tuning,dense6,1702,0.001,6,600,128,105162,0.15739908814430237,0.9470751881599426,0.8493410828523338,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.00199492578394711
tuning,dense6,1701,0.003,6,600,128,105162,0.22869956493377686,0.9582172632217407,0.8496791671495885,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.00044755288399755955
tuning,dense6,1702,0.003,6,600,128,105162,0.25027239322662354,0.9526462554931641,0.8450962081551552,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.0003957663138862699
tuning,dense6,1701,0.01,6,600,128,105162,0.2383941411972046,0.9582172632217407,0.8603922089096159,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,460800.0,460800,460800,0.00017485744319856167
tuning,dense6,1702,0.01,6,600,128,105162,0.2689400613307953,0.9582172632217407,0.847273166058585,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,460800.0,460800,460800,0.0001944548130268231
tuning,constant_ild,1701,0.0001,6,600,128,105162,0.21229857206344604,0.9470751881599426,0.9805069169960916,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.13727091252803802
tuning,constant_ild,1702,0.0001,6,600,128,105162,0.2302856296300888,0.9442896842956543,0.9908310419414192,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.11932646483182907
tuning,constant_ild,1701,0.0003,6,600,128,105162,0.1504240483045578,0.9665738344192505,0.9686952501069754,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.020782047882676125
tuning,constant_ild,1702,0.0003,6,600,128,105162,0.15875916182994843,0.9498607516288757,0.9191625418607146,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.020647086203098297
tuning,constant_ild,1701,0.001,6,600,128,105162,0.17089520394802094,0.9637883305549622,0.9213606249541044,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.0024563383776694536
tuning,constant_ild,1702,0.001,6,600,128,105162,0.15271076560020447,0.9526462554931641,0.9249180001206696,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.002516411244869232
tuning,constant_ild,1701,0.003,6,600,128,105162,0.2437809407711029,0.9582172632217407,0.9786726660095155,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.0004807111108675599
tuning,constant_ild,1702,0.003,6,600,128,105162,0.23419809341430664,0.9554317593574524,1.0214401669800282,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.0004144842969253659
tuning,constant_ild,1701,0.01,6,600,128,105162,0.2958361804485321,0.9526462554931641,1.0359069579280913,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368640.00000000227,368646,460800,0.00022497380268760026
tuning,constant_ild,1702,0.01,6,600,128,105162,0.2493075281381607,0.9498607516288757,1.0236484580673277,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368640.00000000227,368478,460800,0.00013091022265143692
tuning,decreasing_ild,1701,0.0001,6,600,128,105162,0.22402235865592957,0.9470751881599426,0.9695246249902993,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.10498424619436264
tuning,decreasing_ild,1702,0.0001,6,600,128,105162,0.2407570481300354,0.9387186765670776,0.9261964578181505,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.08839510381221771
tuning,decreasing_ild,1701,0.0003,6,600,128,105162,0.154375821352005,0.961002767086029,0.8997415420599282,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.015728412196040154
tuning,decreasing_ild,1702,0.0003,6,600,128,105162,0.16430315375328064,0.9498607516288757,0.9799029580317438,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.013773106038570404
