config,seed,lr,steps,tokens,parameters,train_seconds,validation_ce,active_sequence_blocks,dense_sequence_blocks,nominal_mean_dropout,clipped_steps,max_preclip_grad_norm
dense6,100,0.01,800,819200,312448,13.87016349984333,2.087355613708496,76800,76800,0.0,19,6.735121250152588
constant_ild,100,0.01,800,819200,312448,13.888100958894938,2.073978751897812,61496,76800,0.20000000298023224,15,4.405158042907715
decreasing_ild,100,0.01,800,819200,312448,13.887546582845971,2.082545280456543,61494,76800,0.20000000298023224,15,11.81762981414795
alternating,100,0.01,800,819200,312448,13.88811208307743,2.096203088760376,61625,76800,0.20000003278255463,22,15.892465591430664
dense4,100,0.01,800,819200,212480,9.348987834062427,2.074776768684387,51200,51200,0.0,81,4.130067348480225
dense6,101,0.01,800,819200,312448,13.761063707992435,2.0623032450675964,76800,76800,0.0,13,4.792912006378174
constant_ild,101,0.01,800,819200,312448,13.764913500053808,2.0613471269607544,61301,76800,0.20000000298023224,17,6.087366580963135
decreasing_ild,101,0.01,800,819200,312448,13.74675470800139,2.075929820537567,61384,76800,0.20000000298023224,22,5.5102434158325195
alternating,101,0.01,800,819200,312448,13.742902166908607,2.042821228504181,61298,76800,0.20000003278255463,13,5.046472072601318
dense4,101,0.01,800,819200,212480,9.347241125069559,2.060927629470825,51200,51200,0.0,23,21.3133487701416
dense6,102,0.01,800,819200,312448,13.727591624949127,2.040857881307602,76800,76800,0.0,17,4.133180141448975
constant_ild,102,0.01,800,819200,312448,13.79435950005427,2.072775900363922,61462,76800,0.20000000298023224,27,3.967763662338257
decreasing_ild,102,0.01,800,819200,312448,13.746679916977882,2.0524871349334717,61481,76800,0.20000000298023224,16,10.803762435913086
alternating,102,0.01,800,819200,312448,13.7390505829826,2.0488769114017487,61347,76800,0.20000003278255463,19,5.076899528503418
dense4,102,0.01,800,819200,212480,9.324794665910304,2.044132798910141,51200,51200,0.0,34,3.805560350418091
dense6,103,0.01,800,819200,312448,13.86659050011076,2.0660994052886963,76800,76800,0.0,119,5.722994327545166
constant_ild,103,0.01,800,819200,312448,14.115430624922737,2.0633337199687958,61342,76800,0.20000000298023224,40,5.584794998168945
decreasing_ild,103,0.01,800,819200,312448,14.135744375176728,2.076819062232971,61280,76800,0.20000000298023224,20,8.022159576416016
alternating,103,0.01,800,819200,312448,14.131429500179365,2.0850579738616943,61263,76800,0.20000003278255463,23,4.362284183502197
dense4,103,0.01,800,819200,212480,9.619470042176545,2.0526368021965027,51200,51200,0.0,45,3.4264039993286133
dense6,104,0.01,800,819200,312448,13.799295583041385,2.0739362239837646,76800,76800,0.0,37,4.346776962280273
constant_ild,104,0.01,800,819200,312448,13.783011709107086,2.0435450971126556,61584,76800,0.20000000298023224,32,4.163710117340088
decreasing_ild,104,0.01,800,819200,312448,13.786028708098456,2.050957977771759,61585,76800,0.20000000298023224,14,7.841665744781494
alternating,104,0.01,800,819200,312448,13.797861250117421,2.0384983122348785,61587,76800,0.20000003278255463,18,3.9665117263793945
dense4,104,0.01,800,819200,212480,8.254714500159025,2.0312514901161194,51200,51200,0.0,20,4.700325012207031
