config,seed,lr,steps,tokens,parameters,train_seconds,validation_ce,active_sequence_blocks,dense_sequence_blocks,nominal_mean_dropout,clipped_steps,max_preclip_grad_norm
dense6,10,0.001,800,819200,312448,14.246040542144328,2.2847681045532227,76800,76800,0.0,573,4.042139530181885
dense6,11,0.001,800,819200,312448,14.236050958978012,2.2805426120758057,76800,76800,0.0,595,4.767122745513916
dense6,10,0.003,800,819200,312448,14.262011375045404,2.1225189566612244,76800,76800,0.0,229,4.042139530181885
dense6,11,0.003,800,819200,312448,14.287666583899409,2.1125807762145996,76800,76800,0.0,449,4.413889408111572
dense6,10,0.01,800,819200,312448,14.044647624948993,2.0712661743164062,76800,76800,0.0,19,4.635988712310791
dense6,11,0.01,800,819200,312448,14.024252499919385,2.0464715659618378,76800,76800,0.0,17,13.33359146118164
constant_ild,10,0.001,800,819200,312448,14.021782458061352,2.31736159324646,61601,76800,0.20000000298023224,598,3.8013553619384766
constant_ild,11,0.001,800,819200,312448,14.014316499931738,2.3106828927993774,61485,76800,0.20000000298023224,635,4.7168779373168945
constant_ild,10,0.003,800,819200,312448,13.640313707990572,2.162195861339569,61601,76800,0.20000000298023224,374,3.76200795173645
constant_ild,11,0.003,800,819200,312448,13.631400458980352,2.1267436146736145,61485,76800,0.20000000298023224,516,4.3058552742004395
constant_ild,10,0.01,800,819200,312448,13.726849667029455,2.0869187116622925,61601,76800,0.20000000298023224,50,3.76200795173645
constant_ild,11,0.01,800,819200,312448,13.710296584060416,2.0485328435897827,61485,76800,0.20000000298023224,14,4.155062675476074
decreasing_ild,10,0.001,800,819200,312448,14.203362957807258,2.3284904956817627,61531,76800,0.20000000298023224,588,3.896820068359375
decreasing_ild,11,0.001,800,819200,312448,14.133568292018026,2.294954001903534,61468,76800,0.20000000298023224,646,4.289896488189697
decreasing_ild,10,0.003,800,819200,312448,14.245653334073722,2.158453345298767,61531,76800,0.20000000298023224,409,3.7885451316833496
decreasing_ild,11,0.003,800,819200,312448,14.180713291978464,2.126313805580139,61468,76800,0.20000000298023224,562,4.487534046173096
