config,seed,retained,layers,keeps_first,is_prefix,is_odd_layers,is_even_layers,ce,accuracy,perplexity,full_ce,excess_ce,perplexity_ratio_vs_full
dense6,100,1,1,True,True,False,False,2.3084618151187897,0.3326416015625,10.058940239322434,2.1207039952278137,0.18775781989097595,1.2065412796655473
dense6,100,1,2,False,False,False,False,4.386406302452087,0.0823974609375,80.35114180319191,2.1207039952278137,2.2657023072242737,9.637890985257641
dense6,100,1,3,False,False,False,False,5.033029913902283,0.069091796875,153.39708925787986,2.1207039952278137,2.912325918674469,18.399544680329015
dense6,100,1,4,False,False,False,False,4.799295246601105,0.069580078125,121.42481280763609,2.1207039952278137,2.678591251373291,14.56456103152505
dense6,100,1,5,False,False,False,False,4.853328108787537,0.07373046875,128.16623199142873,2.1207039952278137,2.732624113559723,15.373175093767747
dense6,100,1,6,False,False,False,False,5.582873582839966,0.054443359375,265.8344064645454,2.1207039952278137,3.462169587612152,31.886081169965152
dense6,100,2,"1,2",True,True,False,False,2.2168532609939575,0.352783203125,9.178403336267882,2.1207039952278137,0.0961492657661438,1.10092338190222
dense6,100,2,"1,3",True,False,False,False,2.234609067440033,0.3507080078125,9.342828722229719,2.1207039952278137,0.11390507221221924,1.1206457394138358
dense6,100,2,"1,4",True,False,False,False,2.2392717003822327,0.34912109375,9.38649261845886,2.1207039952278137,0.11856770515441895,1.1258830996106433
dense6,100,2,"1,5",True,False,False,False,2.248669445514679,0.3443603515625,9.475120281588598,2.1207039952278137,0.12796545028686523,1.1365137357951887
dense6,100,2,"1,6",True,False,False,False,2.2459786236286163,0.353271484375,9.449658692225713,2.1207039952278137,0.1252746284008026,1.133459690549734
dense6,100,2,"2,3",False,False,False,False,4.421575248241425,0.0784912109375,83.22728578773264,2.1207039952278137,2.300871253013611,9.982876278046684
dense6,100,2,"2,4",False,False,False,False,4.235455930233002,0.0888671875,69.09317321989332,2.1207039952278137,2.114751935005188,8.287529665103047
dense6,100,2,"2,5",False,False,False,False,4.529341816902161,0.08203125,92.69752905235609,2.1207039952278137,2.408637821674347,11.118805029524431
dense6,100,2,"2,6",False,False,False,False,4.944607317447662,0.068115234375,140.41570122806087,2.1207039952278137,2.8239033222198486,16.84246409801234
dense6,100,2,"3,4",False,False,False,False,4.636585295200348,0.10302734375,103.19137719043451,2.1207039952278137,2.515881299972534,12.377512275009162
dense6,100,2,"3,5",False,False,False,False,4.682956039905548,0.06298828125,108.08911652755666,2.1207039952278137,2.5622520446777344,12.964982182045581
dense6,100,2,"3,6",False,False,False,False,5.399563491344452,0.050537109375,221.3097914774191,2.1207039952278137,3.278859496116638,26.5454802055437
dense6,100,2,"4,5",False,False,False,False,4.410040259361267,0.082275390625,82.27277568692688,2.1207039952278137,2.2893362641334534,9.868385505551801
dense6,100,2,"4,6",False,False,False,False,5.853561460971832,0.0313720703125,348.4732469507005,2.1207039952278137,3.7328574657440186,41.79837510729934
dense6,100,2,"5,6",False,False,False,False,4.569259464740753,0.0816650390625,96.4726419209834,2.1207039952278137,2.4485554695129395,11.571619083791274
dense6,100,3,"1,2,3",True,True,False,False,2.191259950399399,0.365966796875,8.946478135224638,2.1207039952278137,0.07055595517158508,1.0731046135035864
dense6,100,3,"1,2,4",True,False,False,False,2.1787531971931458,0.364013671875,8.83528353225828,2.1207039952278137,0.05804920196533203,1.059767137053486
dense6,100,3,"1,2,5",True,False,False,False,2.174403190612793,0.3665771484375,8.796933462754454,2.1207039952278137,0.05369919538497925,1.0551671552628072
dense6,100,3,"1,2,6",True,False,False,False,2.1686576902866364,0.3663330078125,8.74653559778912,2.1207039952278137,0.04795369505882263,1.0491220746637617
dense6,100,3,"1,3,4",True,False,False,False,2.200504392385483,0.359130859375,9.029566795749576,2.1207039952278137,0.07980039715766907,1.0830708620755343
dense6,100,3,"1,3,5",True,False,True,False,2.1917221546173096,0.362060546875,8.950614190931748,2.1207039952278137,0.07101815938949585,1.0736007216250083
dense6,100,3,"1,3,6",True,False,False,False,2.183869391679764,0.3668212890625,8.880602392351397,2.1207039952278137,0.06316539645195007,1.0652030054599788
dense6,100,3,"1,4,5",True,False,False,False,2.201225697994232,0.3563232421875,9.03608222244835,2.1207039952278137,0.08052170276641846,1.083852368981796
dense6,100,3,"1,4,6",True,False,False,False,2.194833129644394,0.3631591796875,8.97850268587,2.1207039952278137,0.0741291344165802,1.076945867293456
dense6,100,3,"1,5,6",True,False,False,False,2.2061179876327515,0.357421875,9.080397667485373,2.1207039952278137,0.08541399240493774,1.0891678806054659
dense6,100,3,"2,3,4",False,False,False,False,4.330711662769318,0.08251953125,75.99835252656361,2.1207039952278137,2.210007667541504,9.11578628844205
dense6,100,3,"2,3,5",False,False,False,False,4.574081480503082,0.0704345703125,96.93895790892373,2.1207039952278137,2.4533774852752686,11.627552360600951
dense6,100,3,"2,3,6",False,False,False,False,4.985484302043915,0.0506591796875,146.27439886505064,2.1207039952278137,2.864780306816101,17.54519822068601
dense6,100,3,"2,4,5",False,False,False,False,4.471373438835144,0.076904296875,87.47678455906025,2.1207039952278137,2.3506694436073303,10.492591572452305
dense6,100,3,"2,4,6",False,False,False,True,5.234059572219849,0.050537109375,187.55264366565777,2.1207039952278137,3.113355576992035,22.49640631210887
dense6,100,3,"2,5,6",False,False,False,False,5.257308006286621,0.0552978515625,191.96402914765514,2.1207039952278137,3.1366040110588074,23.025539457143406
dense6,100,3,"3,4,5",False,False,False,False,4.782697856426239,0.0587158203125,119.42611031732562,2.1207039952278137,2.6619938611984253,14.324822351012486
