shape,batch,sequence,width,depth,phase,mode,mask_granularity,repetition,ms_per_execution,nominal_active_fraction,executed_block_matmul_fraction
small,8,16,32,6,forward,gather,sequence,0,0.15264325,0.5,0.5
small,8,16,32,6,forward,full_mask,batch,0,0.2131015625,0.5,1
small,8,16,32,6,forward,gather,batch,0,0.1434244375,0.5,0.5
small,8,16,32,6,forward,dense,none,0,0.1876796875,1,1
small,8,16,32,6,forward,batch_skip,batch,0,0.0895859375,0.5,0.5
small,8,16,32,6,forward,full_mask,sequence,0,0.1820494375,0.5,1
small,8,16,32,6,forward,gather,batch,1,0.1189349375,0.5,0.5
small,8,16,32,6,forward,dense,none,1,0.128474,1,1
small,8,16,32,6,forward,full_mask,batch,1,0.136283875,0.5,1
small,8,16,32,6,forward,full_mask,sequence,1,0.142833375,0.5,1
small,8,16,32,6,forward,batch_skip,batch,1,0.096690125,0.5,0.5
small,8,16,32,6,forward,gather,sequence,1,0.16416925,0.5,0.5
small,8,16,32,6,forward,full_mask,batch,2,0.140640625,0.5,1
small,8,16,32,6,forward,batch_skip,batch,2,0.0634765625,0.5,0.5
small,8,16,32,6,forward,gather,sequence,2,0.1632525625,0.5,0.5
small,8,16,32,6,forward,dense,none,2,0.1226640625,1,1
small,8,16,32,6,forward,full_mask,sequence,2,0.152833375,0.5,1
small,8,16,32,6,forward,gather,batch,2,0.0832734375,0.5,0.5
small,8,16,32,6,forward,batch_skip,batch,3,0.074559875,0.5,0.5
small,8,16,32,6,forward,gather,sequence,3,0.1278984375,0.5,0.5
small,8,16,32,6,forward,gather,batch,3,0.0875755,0.5,0.5
small,8,16,32,6,forward,dense,none,3,0.119453125,1,1
small,8,16,32,6,forward,full_mask,batch,3,0.145765625,0.5,1
small,8,16,32,6,forward,full_mask,sequence,3,0.148572875,0.5,1
small,8,16,32,6,forward,gather,sequence,4,0.1414818125,0.5,0.5
small,8,16,32,6,forward,dense,none,4,0.12908075,1,1
small,8,16,32,6,forward,gather,batch,4,0.098989625,0.5,0.5
small,8,16,32,6,forward,batch_skip,batch,4,0.0778698125,0.5,0.5
small,8,16,32,6,forward,full_mask,sequence,4,0.159921875,0.5,1
small,8,16,32,6,forward,full_mask,batch,4,0.1567525625,0.5,1
small,8,16,32,6,forward,full_mask,sequence,5,0.15509375,0.5,1
small,8,16,32,6,forward,batch_skip,batch,5,0.0744895625,0.5,0.5
small,8,16,32,6,forward,gather,batch,5,0.093309875,0.5,0.5
small,8,16,32,6,forward,full_mask,batch,5,0.1550520625,0.5,1
small,8,16,32,6,forward,dense,none,5,0.116940125,1,1
small,8,16,32,6,forward,gather,sequence,5,0.1252916875,0.5,0.5
small,8,16,32,6,forward,full_mask,batch,6,0.1452734375,0.5,1
small,8,16,32,6,forward,batch_skip,batch,6,0.068203125,0.5,0.5
small,8,16,32,6,forward,full_mask,sequence,6,0.13484375,0.5,1
small,8,16,32,6,forward,gather,sequence,6,0.12529425,0.5,0.5
small,8,16,32,6,forward,gather,batch,6,0.0798775625,0.5,0.5
small,8,16,32,6,forward,dense,none,6,0.109989625,1,1
small,8,16,32,6,forward,full_mask,sequence,7,0.1402786875,0.5,1
small,8,16,32,6,forward,batch_skip,batch,7,0.0650989375,0.5,0.5
small,8,16,32,6,forward,dense,none,7,0.109145875,1,1
small,8,16,32,6,forward,full_mask,batch,7,0.1321640625,0.5,1
small,8,16,32,6,forward,gather,batch,7,0.0795390625,0.5,0.5
small,8,16,32,6,forward,gather,sequence,7,0.123125,0.5,0.5
small,8,16,32,6,forward,full_mask,sequence,8,0.1311198125,0.5,1
small,8,16,32,6,forward,gather,batch,8,0.080484375,0.5,0.5
small,8,16,32,6,forward,gather,sequence,8,0.1217135625,0.5,0.5
small,8,16,32,6,forward,full_mask,batch,8,0.1394010625,0.5,1
small,8,16,32,6,forward,dense,none,8,0.1150208125,1,1
small,8,16,32,6,forward,batch_skip,batch,8,0.0678854375,0.5,0.5
small,8,16,32,6,forward_backward,batch_skip,batch,0,0.2298255625,0.5,0.5
