shape,phase,mode,mask_granularity,median_ms,min_ms,max_ms,speedup_vs_dense,repetitions,executions_per_repetition
small,forward,dense,none,0.119453125,0.109145875,0.1876796875,1.0,9,16
small,forward,full_mask,sequence,0.148572875,0.1311198125,0.1820494375,0.8040035908304258,9,16
small,forward,gather,sequence,0.1278984375,0.1217135625,0.16416925,0.933968603017531,9,16
small,forward,full_mask,batch,0.1452734375,0.1321640625,0.2131015625,0.8222640494756656,9,16
small,forward,gather,batch,0.0875755,0.0795390625,0.1434244375,1.3640016328767748,9,16
small,forward,batch_skip,batch,0.0744895625,0.0634765625,0.096690125,1.6036223195699397,9,16
small,forward_backward,dense,none,0.366341125,0.3559375,0.380184875,1.0,9,16
small,forward_backward,full_mask,sequence,0.42796875,0.424033875,0.44028125,0.8559997079225995,9,16
small,forward_backward,gather,sequence,0.3809921875,0.3747760625,0.38710675,0.9615449791867451,9,16
small,forward_backward,full_mask,batch,0.4215234375,0.412627625,0.4284635625,0.8690883884718748,9,16
small,forward_backward,gather,batch,0.25289325,0.2478150625,0.255903625,1.4485998538909202,9,16
small,forward_backward,batch_skip,batch,0.224125,0.211109375,0.2298255625,1.6345393195761293,9,16
medium,forward,dense,none,0.8906979375,0.877724,0.893309875,1.0,9,16
medium,forward,full_mask,sequence,0.96909375,0.95715625,0.977625,0.9191039953564865,9,16
medium,forward,gather,sequence,0.583877625,0.568591125,0.5920625,1.5254873613284978,9,16
medium,forward,full_mask,batch,0.9651614375,0.9556614375,0.9931796875,0.9228486581551804,9,16
medium,forward,gather,batch,0.5025755625,0.4974296875,0.5152265625,1.7722667076555279,9,16
medium,forward,batch_skip,batch,0.4705546875,0.4600885,0.4968150625,1.8928680579767894,9,16
medium,forward_backward,dense,none,2.543099,2.51893225,2.6889323125,1.0,9,16
medium,forward_backward,full_mask,sequence,2.7203828125,2.6778489375,2.765510375,0.9348312995930605,9,16
medium,forward_backward,gather,sequence,1.6455390625,1.62659375,1.6903046875,1.5454503985680985,9,16
medium,forward_backward,full_mask,batch,2.7343880625,2.6784921875,2.88890625,0.9300431913365261,9,16
medium,forward_backward,gather,batch,1.3985416875,1.38154425,1.438776,1.8183934184657617,9,16
medium,forward_backward,batch_skip,batch,1.3219270625,1.31053125,1.35028125,1.9237816307282085,9,16
