config,regime,seed,lr,steps,depth,validation_mse,test_mse,early_exit_depth4_test_mse,parameter_count,realized_active_sequence_blocks,expected_active_sequence_blocks,expected_budget_relative_to_dense6,executed_sequence_blocks,train_seconds
dense6,matched_steps,100,0.03,240,6,0.018253032118082047,0.013959264382719994,0.1097918450832367,3841,92160,92160.0,1.0,92160,0.08739150012843311
dense6,matched_steps,101,0.03,240,6,0.026382772251963615,0.02091539464890957,0.13679960370063782,3841,92160,92160.0,1.0,92160,0.08647600002586842
dense6,matched_steps,102,0.03,240,6,0.027568824589252472,0.025682473555207253,0.12877699732780457,3841,92160,92160.0,1.0,92160,0.08774724998511374
dense6,matched_steps,103,0.03,240,6,0.023360494524240494,0.02048751898109913,0.28458037972450256,3841,92160,92160.0,1.0,92160,0.08708141697570682
dense6,matched_steps,104,0.03,240,6,0.02311723679304123,0.017089664936065674,0.3926035165786743,3841,92160,92160.0,1.0,92160,0.09141258290037513
dense6,matched_steps,105,0.03,240,6,0.022439109161496162,0.017347021028399467,0.09967194497585297,3841,92160,92160.0,1.0,92160,0.08993362495675683
constant_ild,matched_steps,100,0.03,240,6,0.029858287423849106,0.02268960140645504,0.02914118766784668,3841,73557,73727.99999999967,0.7999999999999964,92160,0.09969133418053389
constant_ild,matched_steps,101,0.03,240,6,0.025411639362573624,0.02324036881327629,0.03411978855729103,3841,73947,73727.99999999967,0.7999999999999964,92160,0.10297437501139939
constant_ild,matched_steps,102,0.03,240,6,0.032960180193185806,0.030577370896935463,0.04165847599506378,3841,73932,73727.99999999967,0.7999999999999964,92160,0.09988341690041125
constant_ild,matched_steps,103,0.03,240,6,0.030772153288125992,0.02547113038599491,0.033197637647390366,3841,73757,73727.99999999967,0.7999999999999964,92160,0.09897795901633799
constant_ild,matched_steps,104,0.03,240,6,0.024473171681165695,0.018957341089844704,0.0255165733397007,3841,73840,73727.99999999967,0.7999999999999964,92160,0.09924758388660848
constant_ild,matched_steps,105,0.03,240,6,0.026339571923017502,0.021984582766890526,0.026195554062724113,3841,73785,73727.99999999967,0.7999999999999964,92160,0.09887995896860957
decreasing_ild,matched_steps,100,0.03,240,6,0.028032343834638596,0.022253256291151047,0.03200264275074005,3841,73706,73727.99999999994,0.7999999999999994,92160,0.09893299988470972
decreasing_ild,matched_steps,101,0.03,240,6,0.028154797852039337,0.025036588311195374,0.03401169925928116,3841,73865,73727.99999999994,0.7999999999999994,92160,0.09585075010545552
decreasing_ild,matched_steps,102,0.03,240,6,0.03893860802054405,0.03264923393726349,0.041493214666843414,3841,73838,73727.99999999994,0.7999999999999994,92160,0.09619925008155406
decreasing_ild,matched_steps,103,0.03,240,6,0.04068112000823021,0.03616742044687271,0.050004299730062485,3841,73805,73727.99999999994,0.7999999999999994,92160,0.09604904218576849
decreasing_ild,matched_steps,104,0.03,240,6,0.028691807761788368,0.024619296193122864,0.030848350375890732,3841,74077,73727.99999999994,0.7999999999999994,92160,0.09758024988695979
decreasing_ild,matched_steps,105,0.03,240,6,0.025105126202106476,0.019727500155568123,0.0259447880089283,3841,73733,73727.99999999994,0.7999999999999994,92160,0.11467587505467236
increasing_ild,matched_steps,100,0.03,240,6,0.02946389466524124,0.022650443017482758,0.030738456174731255,3841,73638,73728.00000000001,0.8000000000000002,92160,0.10055554192513227
increasing_ild,matched_steps,101,0.03,240,6,0.0319414846599102,0.02706359326839447,0.03395659476518631,3841,73840,73728.00000000001,0.8000000000000002,92160,0.09978562500327826
increasing_ild,matched_steps,102,0.03,240,6,0.03920729458332062,0.032825130969285965,0.04342368617653847,3841,73801,73728.00000000001,0.8000000000000002,92160,0.09832875011488795
increasing_ild,matched_steps,103,0.03,240,6,0.03432459011673927,0.03145424649119377,0.038861121982336044,3841,73600,73728.00000000001,0.8000000000000002,92160,0.09827966708689928
increasing_ild,matched_steps,104,0.03,240,6,0.03095230460166931,0.026471063494682312,0.03309892117977142,3841,73741,73728.00000000001,0.8000000000000002,92160,0.09999808389693499
increasing_ild,matched_steps,105,0.03,240,6,0.02721419185400009,0.022024044767022133,0.028696104884147644,3841,73800,73728.00000000001,0.8000000000000002,92160,0.13836829201318324
dense5,matched_steps,100,0.03,240,5,0.0227609071880579,0.020240331068634987,0.03979192674160004,3241,76800,76800.0,0.8333333333333334,76800,0.0746962078846991
dense5,matched_steps,101,0.03,240,5,0.020871799439191818,0.0185389444231987,0.20168524980545044,3241,76800,76800.0,0.8333333333333334,76800,0.0750418328680098
dense5,matched_steps,102,0.03,240,5,0.02060656249523163,0.017589155584573746,0.06360369175672531,3241,76800,76800.0,0.8333333333333334,76800,0.07552274991758168
dense5,matched_steps,103,0.03,240,5,0.05109858140349388,0.043239444494247437,0.08594139665365219,3241,76800,76800.0,0.8333333333333334,76800,0.0751723749563098
dense5,matched_steps,104,0.03,240,5,0.01644451916217804,0.01264091208577156,0.020356032997369766,3241,76800,76800.0,0.8333333333333334,76800,0.07656508381478488
dense5,matched_steps,105,0.03,240,5,0.020717307925224304,0.018180575221776962,0.043229907751083374,3241,76800,76800.0,0.8333333333333334,76800,0.08005545916967094
dense6,matched_expected_active_budget,100,0.03,240,6,0.018253032118082047,0.013959264382719994,0.1097918450832367,3841,92160,92160.0,1.0,92160,0.08529162500053644
dense6,matched_expected_active_budget,101,0.03,240,6,0.026382772251963615,0.02091539464890957,0.13679960370063782,3841,92160,92160.0,1.0,92160,0.08649845817126334
dense6,matched_expected_active_budget,102,0.03,240,6,0.027568824589252472,0.025682473555207253,0.12877699732780457,3841,92160,92160.0,1.0,92160,0.08395850006490946
dense6,matched_expected_active_budget,103,0.03,240,6,0.023360494524240494,0.02048751898109913,0.28458037972450256,3841,92160,92160.0,1.0,92160,0.0839074170216918
dense6,matched_expected_active_budget,104,0.03,240,6,0.02311723679304123,0.017089664936065674,0.3926035165786743,3841,92160,92160.0,1.0,92160,0.08430345915257931
dense6,matched_expected_active_budget,105,0.03,240,6,0.022439109161496162,0.017347021028399467,0.09967194497585297,3841,92160,92160.0,1.0,92160,0.08383358409628272
constant_ild,matched_expected_active_budget,100,0.03,300,6,0.023302098736166954,0.019128918647766113,0.023229578509926796,3841,91938,92159.99999999949,0.9999999999999944,115200,0.1318739161361009
constant_ild,matched_expected_active_budget,101,0.03,300,6,0.016800273209810257,0.015485163778066635,0.022401513531804085,3841,92375,92159.99999999949,0.9999999999999944,115200,0.1292532910592854
constant_ild,matched_expected_active_budget,102,0.03,300,6,0.020273910835385323,0.01894908770918846,0.02733513154089451,3841,92234,92159.99999999949,0.9999999999999944,115200,0.1334411669522524
constant_ild,matched_expected_active_budget,103,0.03,300,6,0.019878417253494263,0.01548553816974163,0.021487809717655182,3841,92170,92159.99999999949,0.9999999999999944,115200,0.12600441579706967
constant_ild,matched_expected_active_budget,104,0.03,300,6,0.01607886701822281,0.011631147004663944,0.01779290661215782,3841,92342,92159.99999999949,0.9999999999999944,115200,0.12671279185451567
constant_ild,matched_expected_active_budget,105,0.03,300,6,0.018100658431649208,0.014296568930149078,0.018064890056848526,3841,92200,92159.99999999949,0.9999999999999944,115200,0.1259820000268519
decreasing_ild,matched_expected_active_budget,100,0.03,300,6,0.01774204894900322,0.01543455570936203,0.022704049944877625,3841,92134,92160.0,1.0,115200,0.12642808281816542
decreasing_ild,matched_expected_active_budget,101,0.03,300,6,0.01904294453561306,0.01484755240380764,0.02097253128886223,3841,92325,92160.0,1.0,115200,0.12489854195155203
decreasing_ild,matched_expected_active_budget,102,0.03,300,6,0.022258302196860313,0.01781669817864895,0.022153286263346672,3841,92335,92160.0,1.0,115200,0.13286595814861357
decreasing_ild,matched_expected_active_budget,103,0.03,300,6,0.022794194519519806,0.01865496300160885,0.027022624388337135,3841,92291,92160.0,1.0,115200,0.1236825839150697
decreasing_ild,matched_expected_active_budget,104,0.03,300,6,0.018677683547139168,0.015390974469482899,0.020486418157815933,3841,92372,92160.0,1.0,115200,0.12621191702783108
decreasing_ild,matched_expected_active_budget,105,0.03,300,6,0.01578524336218834,0.011627850122749805,0.01671827770769596,3841,92203,92160.0,1.0,115200,0.1261268330272287
increasing_ild,matched_expected_active_budget,100,0.03,300,6,0.020074672996997833,0.01824285089969635,0.021816061809659004,3841,91984,92160.0,1.0,115200,0.1527106249704957
increasing_ild,matched_expected_active_budget,101,0.03,300,6,0.021856198087334633,0.01966783218085766,0.02537347748875618,3841,92167,92160.0,1.0,115200,0.15279887500219047
increasing_ild,matched_expected_active_budget,102,0.03,300,6,0.025170868262648582,0.021781353279948235,0.02869638428092003,3841,92175,92160.0,1.0,115200,0.1319052919279784
increasing_ild,matched_expected_active_budget,103,0.03,300,6,0.022939641028642654,0.01870565302670002,0.023257063701748848,3841,92076,92160.0,1.0,115200,0.12528454209677875
increasing_ild,matched_expected_active_budget,104,0.03,300,6,0.020239826291799545,0.016698196530342102,0.021015439182519913,3841,92142,92160.0,1.0,115200,0.12641412508673966
