task,recipe,mask,retained_blocks,ce_mean,ce_unit,n_training_seeds,ce_seed_2000,ce_seed_2001,ce_seed_2002
gpt_wikitext103,dense,full,12,3.511782085346336,nats / token,3,3.51696579630782,3.512036625931903,3.506343833799285
gpt_wikitext103,dense,primary_two_thirds,8,7.710802458166108,nats / token,3,8.282762225081282,7.597430054734394,7.252215094682648
gpt_wikitext103,constant_ild,full,12,3.6452079090645646,nats / token,3,3.624571257490453,3.6646617098552428,3.646390759847998
gpt_wikitext103,constant_ild,primary_two_thirds,8,3.738041663234473,nats / token,3,3.721467068524865,3.753734309498857,3.738923611679698
gpt_wikitext103,decreasing_ild,full,12,3.7364085231047017,nats / token,3,3.7269930645702334,3.7471214232406,3.7351110815032715
gpt_wikitext103,decreasing_ild,primary_two_thirds,8,3.852466168442393,nats / token,3,3.8473788703360214,3.861042608090533,3.8489770269006254
convnext_cifar100,dense,full,18,3.457204230499268,nats / image,3,3.4851464172363285,3.3789986228942874,3.507467651367188
convnext_cifar100,dense,primary_two_thirds,12,8.155743916829428,nats / image,3,9.544173754882813,9.493451220703125,5.429606774902344
convnext_cifar100,constant_ild,full,18,2.7445013252258303,nats / image,3,2.744724843597412,2.7268201675415042,2.7619589645385743
convnext_cifar100,constant_ild,primary_two_thirds,12,2.648341144434611,nats / image,3,2.7628395000457764,2.549344538116455,2.632839395141602
convnext_cifar100,decreasing_ild,full,18,2.891365719731649,nats / image,3,2.952007667541504,2.822897703552246,2.8991917881011964
convnext_cifar100,decreasing_ild,primary_two_thirds,12,2.775109326299032,nats / image,3,2.7859872222900393,2.6982430393218997,2.8410977172851566
vit_cifar100,dense,full,12,3.079447344462077,nats / image,3,3.1125305675506594,3.032232258987427,3.0935792068481445
vit_cifar100,dense,primary_two_thirds,8,2.2435994916280113,nats / image,3,2.2524557006835937,2.2327628738403322,2.2455799003601076
vit_cifar100,constant_ild,full,12,2.7132325160980226,nats / image,3,2.800747856140137,2.646980401992798,2.6919692901611327
vit_cifar100,constant_ild,primary_two_thirds,8,2.155133633995056,nats / image,3,2.2211500619888307,2.1031770935058596,2.1410737464904788
vit_cifar100,decreasing_ild,full,12,2.5613545597076417,nats / image,3,2.5226513256073,2.5696536399841308,2.5917587135314943
vit_cifar100,decreasing_ild,primary_two_thirds,8,2.2088510288238528,nats / image,3,2.1854263668060305,2.217040085601807,2.224086634063721
