task,recipe,mask,retained_blocks,seed,accuracy_percent,mean_accuracy_percent
vit_cifar100,dense,full,12,2000,46.68999910354614,47.039999564488724
vit_cifar100,dense,full,12,2001,47.269999980926514,47.039999564488724
vit_cifar100,dense,full,12,2002,47.15999960899353,47.039999564488724
vit_cifar100,constant_ild,full,12,2000,48.659998178482056,49.55333173274994
vit_cifar100,constant_ild,full,12,2001,50.37999749183655,49.55333173274994
vit_cifar100,constant_ild,full,12,2002,49.61999952793121,49.55333173274994
vit_cifar100,decreasing_ild,full,12,2000,48.46999943256378,48.40333163738251
vit_cifar100,decreasing_ild,full,12,2001,48.47999811172485,48.40333163738251
vit_cifar100,decreasing_ild,full,12,2002,48.25999736785889,48.40333163738251
vit_cifar100,dense,primary_two_thirds,8,2000,46.379998326301575,46.67999843756358
vit_cifar100,dense,primary_two_thirds,8,2001,46.619999408721924,46.67999843756358
vit_cifar100,dense,primary_two_thirds,8,2002,47.039997577667236,46.67999843756358
vit_cifar100,constant_ild,primary_two_thirds,8,2000,49.93999898433685,50.57333211104075
vit_cifar100,constant_ild,primary_two_thirds,8,2001,51.3700008392334,50.57333211104075
vit_cifar100,constant_ild,primary_two_thirds,8,2002,50.409996509552,50.57333211104075
vit_cifar100,decreasing_ild,primary_two_thirds,8,2000,48.669999837875366,48.77333243687947
vit_cifar100,decreasing_ild,primary_two_thirds,8,2001,48.76999855041504,48.77333243687947
vit_cifar100,decreasing_ild,primary_two_thirds,8,2002,48.87999892234802,48.77333243687947
vit_cifar100,dense,random_keeps_first_0,8,2000,16.71999990940094,17.523333430290222
vit_cifar100,dense,random_keeps_first_0,8,2001,18.140000104904175,17.523333430290222
vit_cifar100,dense,random_keeps_first_0,8,2002,17.71000027656555,17.523333430290222
vit_cifar100,constant_ild,random_keeps_first_0,8,2000,43.82999837398529,45.016665259997055
vit_cifar100,constant_ild,random_keeps_first_0,8,2001,45.8299994468689,45.016665259997055
vit_cifar100,constant_ild,random_keeps_first_0,8,2002,45.38999795913696,45.016665259997055
vit_cifar100,decreasing_ild,random_keeps_first_0,8,2000,35.40999889373779,35.366666316986084
vit_cifar100,decreasing_ild,random_keeps_first_0,8,2001,35.80999970436096,35.366666316986084
vit_cifar100,decreasing_ild,random_keeps_first_0,8,2002,34.8800003528595,35.366666316986084
vit_cifar100,dense,random_keeps_first_1,8,2000,16.830000281333923,17.55333294471105
vit_cifar100,dense,random_keeps_first_1,8,2001,18.359999358654022,17.55333294471105
vit_cifar100,dense,random_keeps_first_1,8,2002,17.469999194145203,17.55333294471105
vit_cifar100,constant_ild,random_keeps_first_1,8,2000,43.75999867916107,44.89666521549225
vit_cifar100,constant_ild,random_keeps_first_1,8,2001,45.7099974155426,44.89666521549225
vit_cifar100,constant_ild,random_keeps_first_1,8,2002,45.21999955177307,44.89666521549225
vit_cifar100,decreasing_ild,random_keeps_first_1,8,2000,35.58000028133392,35.48999925454457
vit_cifar100,decreasing_ild,random_keeps_first_1,8,2001,35.77999770641327,35.48999925454457
vit_cifar100,decreasing_ild,random_keeps_first_1,8,2002,35.109999775886536,35.48999925454457
vit_cifar100,dense,random_keeps_first_2,8,2000,23.719999194145203,24.146666129430137
vit_cifar100,dense,random_keeps_first_2,8,2001,24.799999594688416,24.146666129430137
vit_cifar100,dense,random_keeps_first_2,8,2002,23.919999599456787,24.146666129430137
vit_cifar100,constant_ild,random_keeps_first_2,8,2000,45.87000012397766,46.753333012262985
vit_cifar100,constant_ild,random_keeps_first_2,8,2001,47.189998626708984,46.753333012262985
vit_cifar100,constant_ild,random_keeps_first_2,8,2002,47.200000286102295,46.753333012262985
vit_cifar100,decreasing_ild,random_keeps_first_2,8,2000,41.80999994277954,42.22666621208191
vit_cifar100,decreasing_ild,random_keeps_first_2,8,2001,42.78999865055084,42.22666621208191
vit_cifar100,decreasing_ild,random_keeps_first_2,8,2002,42.080000042915344,42.22666621208191
vit_cifar100,dense,delete_first_only,11,2000,1.1099999770522118,1.269999953607718
vit_cifar100,dense,delete_first_only,11,2001,1.4699999243021011,1.269999953607718
vit_cifar100,dense,delete_first_only,11,2002,1.2299999594688416,1.269999953607718
vit_cifar100,constant_ild,delete_first_only,11,2000,1.119999960064888,0.9899999635914961
vit_cifar100,constant_ild,delete_first_only,11,2001,0.9599999524652958,0.9899999635914961
vit_cifar100,constant_ild,delete_first_only,11,2002,0.8899999782443047,0.9899999635914961
vit_cifar100,decreasing_ild,delete_first_only,11,2000,1.0499999858438969,1.5099999494850636
vit_cifar100,decreasing_ild,delete_first_only,11,2001,1.3299999758601189,1.5099999494850636
vit_cifar100,decreasing_ild,delete_first_only,11,2002,2.149999886751175,1.5099999494850636
