task,recipe,seed,paired_signed_ce_change_difference,mean,ci95_low,ci95_high,n,df,unit
gpt_wikitext103,constant_ild,2000,-4.668900617739049,-4.106186618649863,-5.389537742461515,-2.822835494838211,3,2,nats / token
gpt_wikitext103,constant_ild,2001,-3.996320829158877,-4.106186618649863,-5.389537742461515,-2.822835494838211,3,2,nats / token
gpt_wikitext103,constant_ild,2002,-3.6533384090516634,-4.106186618649863,-5.389537742461515,-2.822835494838211,3,2,nats / token
gpt_wikitext103,decreasing_ild,2000,-4.645410623007673,-4.08296272748208,-5.364330408109328,-2.8015950468548314,3,2,nats / token
gpt_wikitext103,decreasing_ild,2001,-3.971472243952558,-4.08296272748208,-5.364330408109328,-2.8015950468548314,3,2,nats / token
gpt_wikitext103,decreasing_ild,2002,-3.6320053154860092,-4.08296272748208,-5.364330408109328,-2.8015950468548314,3,2,nats / token
convnext_cifar100,constant_ild,2000,-6.040912681198121,-4.794699867121379,-10.704966402576215,1.1155666683334582,3,2,nats / image
convnext_cifar100,constant_ild,2001,-6.291928227233887,-4.794699867121379,-10.704966402576215,1.1155666683334582,3,2,nats / image
convnext_cifar100,constant_ild,2002,-2.0512586929321284,-4.794699867121379,-10.704966402576215,1.1155666683334582,3,2,nats / image
convnext_cifar100,decreasing_ild,2000,-6.225047782897949,-4.814796079762776,-10.912890952086796,1.2832987925612436,3,2,nats / image
convnext_cifar100,decreasing_ild,2001,-6.239107262039184,-4.814796079762776,-10.912890952086796,1.2832987925612436,3,2,nats / image
convnext_cifar100,decreasing_ild,2002,-1.9802331943511957,-4.814796079762776,-10.912890952086796,1.2832987925612436,3,2,nats / image
vit_cifar100,constant_ild,2000,0.2804770727157595,0.27774897073109966,0.22594696381371698,0.32955097764848235,3,2,nats / image
vit_cifar100,constant_ild,2001,0.2556660766601566,0.27774897073109966,0.22594696381371698,0.32955097764848235,3,2,nats / image
vit_cifar100,constant_ild,2002,0.29710376281738293,0.27774897073109966,0.22594696381371698,0.32955097764848235,3,2,nats / image
vit_cifar100,decreasing_ild,2000,0.5228499080657962,0.4833443219502769,0.3887315388513575,0.5779571050491962,3,2,nats / image
vit_cifar100,decreasing_ild,2001,0.446855830764771,0.4833443219502769,0.3887315388513575,0.5779571050491962,3,2,nats / image
vit_cifar100,decreasing_ild,2002,0.4803272270202634,0.4833443219502769,0.3887315388513575,0.5779571050491962,3,2,nats / image
